Trial Pos Threads Depth One Two Draws Games
1776488804-5 james50.epd 4 10 19 9 72 100
1776488804-6 james50.epd 4 10 17 16 67 100
1776488804-7 james50.epd 4 10 21 14 65 100
1776488804-8 james50.epd 4 10 9 19 72 100
1776488804-9 james50.epd 4 10 15 19 66 100
1776488956-0 james50.epd 4 10 20 17 63 100
1776488956-1 james50.epd 4 10 18 13 69 100
1776488956-2 james50.epd 4 10 15 16 69 100
1776488956-3 james50.epd 4 10 19 25 56 100
1776488956-4 james50.epd 4 10 15 22 63 100
1776488956-5 james50.epd 4 10 22 12 66 100
1776488956-6 james50.epd 4 10 19 22 59 100
1776488956-7 james50.epd 4 10 21 16 63 100
1776488956-8 james50.epd 4 10 16 24 60 100
1776488956-9 james50.epd 4 10 21 15 64 100
1776489108-0 james50.epd 4 10 16 15 69 100
1776489108-1 james50.epd 4 10 15 16 69 100
1776489108-2 james50.epd 4 10 16 15 69 100
1776489108-3 james50.epd 4 10 21 14 65 100
1776489108-4 james50.epd 4 10 15 15 70 100
1776489108-5 james50.epd 4 10 16 16 68 100
1776489108-6 james50.epd 4 10 17 16 67 100
1776489108-7 james50.epd 4 10 12 18 70 100
1776489108-8 james50.epd 4 10 17 17 66 100
1776489108-9 james50.epd 4 10 19 18 63 100
1776525413-0 james50.epd 2 10 21 21 58 100
1776525413-1 james50.epd 2 10 12 15 73 100
1776525413-2 james50.epd 2 10 14 16 70 100
1776525413-3 james50.epd 2 10 22 26 52 100
1776525413-4 james50.epd 2 10 21 22 57 100
1776525565-0 james50.epd 2 10 23 21 56 100
1776525565-1 james50.epd 2 10 18 17 65 100
1776525565-2 james50.epd 2 10 22 21 57 100
1776525565-3 james50.epd 2 10 17 15 68 100
1776525565-4 james50.epd 2 10 22 16 62 100
1776525716-0 james50.epd 2 10 16 22 62 100
1776525716-1 james50.epd 2 10 17 15 68 100
1776525716-2 james50.epd 2 10 17 12 71 100
1776525716-3 james50.epd 2 10 22 19 59 100
1776525716-4 james50.epd 2 10 16 24 60 100
1776525867-0 james50.epd 2 10 19 17 64 100
1776525867-1 james50.epd 2 10 19 21 60 100
1776525867-2 james50.epd 2 10 17 16 67 100
1776525867-3 james50.epd 2 10 18 18 64 100
1776525867-4 james50.epd 2 10 22 16 62 100
1776526019-0 james50.epd 2 10 22 18 60 100
1776526019-1 james50.epd 2 10 20 19 61 100
1776526019-2 james50.epd 2 10 20 13 67 100
1776526019-3 james50.epd 2 10 17 24 59 100
1776526019-4 james50.epd 2 10 11 29 60 100
1776526170-0 james50.epd 2 10 28 13 59 100
1776526170-1 james50.epd 2 10 17 15 68 100
1776526170-2 james50.epd 2 10 34 15 51 100
1776526170-3 james50.epd 2 10 23 25 52 100
1776526170-4 james50.epd 2 10 19 10 71 100
1776526321-0 james50.epd 2 10 18 17 65 100
1776526321-1 james50.epd 2 10 16 18 66 100
1776526321-2 james50.epd 2 10 22 11 67 100
1776526321-3 james50.epd 2 10 20 17 63 100
1776526321-4 james50.epd 2 10 18 25 57 100
1776526442-0 james50.epd 2 10 18 20 62 100
1776526442-1 james50.epd 2 10 18 16 66 100
1776526442-2 james50.epd 2 10 18 25 57 100
1776526442-3 james50.epd 2 10 20 21 59 100
1776526442-4 james50.epd 2 10 22 12 66 100
1776526564-0 james50.epd 2 10 19 19 62 100
1776526564-1 james50.epd 2 10 22 10 68 100
1776526564-2 james50.epd 2 10 18 18 64 100
1776526564-3 james50.epd 2 10 23 18 59 100
1776526564-4 james50.epd 2 10 18 18 64 100
1776526685-0 james50.epd 2 10 21 23 56 100
1776526685-1 james50.epd 2 10 11 14 75 100
1776526685-2 james50.epd 2 10 20 25 55 100
1776526685-3 james50.epd 2 10 12 18 70 100
1776526685-4 james50.epd 2 10 21 17 62 100
1776526806-0 james100.epd 2 10 42 40 118 200
1776526806-1 james100.epd 2 10 36 33 131 200
1776526806-2 james100.epd 2 10 37 31 132 200
1776526806-3 james100.epd 2 10 49 30 121 200
1776526806-4 james100.epd 2 10 45 36 119 200
1776527048-0 james100.epd 2 10 45 43 112 200
1776527048-1 james100.epd 2 10 49 38 113 200
1776527048-2 james100.epd 2 10 33 37 130 200
1776527048-3 james100.epd 2 10 48 33 119 200
1776527048-4 james100.epd 2 10 37 42 121 200
1776527289-0 james100.epd 2 10 32 34 134 200
1776527289-1 james100.epd 2 10 39 48 113 200
1776527289-2 james100.epd 2 10 30 34 136 200
1776527289-3 james100.epd 2 10 47 38 115 200
1776527289-4 james100.epd 2 10 34 37 129 200
1776527530-0 james100.epd 2 10 33 41 126 200
1776527530-1 james100.epd 2 10 43 30 127 200
1776527530-2 james100.epd 2 10 35 38 127 200
1776527530-3 james100.epd 2 10 34 41 125 200
1776527530-4 james100.epd 2 10 41 42 117 200
1776527772-0 james100.epd 2 10 37 37 126 200
1776527772-1 james100.epd 2 10 39 39 122 200
1776527772-2 james100.epd 2 10 41 41 118 200
1776527772-3 james100.epd 2 10 37 43 120 200
1776527772-4 james100.epd 2 10 38 29 133 200
1776528013-0 james100.epd 2 10 29 32 139 200
1776528013-1 james100.epd 2 10 35 32 133 200
1776528013-2 james100.epd 2 10 33 39 128 200
1776528013-3 james100.epd 2 10 35 34 131 200
1776528013-4 james100.epd 2 10 40 29 131 200
1776528254-0 james100.epd 2 10 32 31 137 200
1776528254-1 james100.epd 2 10 39 32 129 200
1776528254-2 james100.epd 2 10 37 32 131 200
1776528254-3 james100.epd 2 10 44 37 119 200
1776528254-4 james100.epd 2 10 33 41 126 200
1776528496-0 james100.epd 2 10 37 34 129 200
1776528496-1 james100.epd 2 10 39 28 133 200
1776528496-2 james100.epd 2 10 38 38 124 200
1776528496-3 james100.epd 2 10 38 37 125 200
1776528496-4 james100.epd 2 10 40 34 126 200
1776528737-0 james100.epd 2 10 37 47 116 200
1776528737-1 james100.epd 2 10 45 36 119 200
1776528737-2 james100.epd 2 10 31 43 126 200
1776528737-3 james100.epd 2 10 46 36 118 200
1776528737-4 james100.epd 2 10 55 30 115 200
1776529009-0 james100.epd 2 10 44 53 103 200
1776529009-1 james100.epd 2 10 43 36 121 200
1776529009-2 james100.epd 2 10 39 37 124 200
1776529009-3 james100.epd 2 10 49 28 123 200
1776529009-4 james100.epd 2 10 37 39 124 200
1776529250-0 james100.epd 4 10 43 30 127 200
1776529250-1 james100.epd 4 10 33 35 132 200
1776529250-2 james100.epd 4 10 35 29 136 200
1776529250-3 james100.epd 4 10 43 35 122 200
1776529250-4 james100.epd 4 10 37 38 125 200
1776529521-0 james100.epd 4 10 35 40 125 200
1776529521-1 james100.epd 4 10 30 46 124 200
1776529521-2 james100.epd 4 10 48 27 125 200
1776529521-3 james100.epd 4 10 32 47 121 200
1776529521-4 james100.epd 4 10 38 38 124 200
1776529793-0 james100.epd 4 10 37 36 127 200
1776529793-1 james100.epd 4 10 29 34 137 200
1776529793-2 james100.epd 4 10 41 39 120 200
1776529793-3 james100.epd 4 10 32 39 129 200
